source,target,confidence_score,interaction_type
DYNC2H1,NEK1,0.972,protein_protein_interaction
NEK1,DYNC2H1,0.972,protein_protein_interaction
DYNC2H1,IFT80,0.971,protein_protein_interaction
IFT80,DYNC2H1,0.971,protein_protein_interaction
DYNC2H1,DYNLL2,0.97,protein_protein_interaction
DYNLL2,DYNC2H1,0.97,protein_protein_interaction
DYNC2H1,TCTEX1D2,0.964,protein_protein_interaction
TCTEX1D2,DYNC2H1,0.964,protein_protein_interaction
DYNC2H1,DYNC1I1,0.961,protein_protein_interaction
DYNC1I1,DYNC2H1,0.961,protein_protein_interaction
EGFR,PTPN11,0.999,protein_protein_interaction
PTPN11,EGFR,0.999,protein_protein_interaction
EGFR,MUC1,0.999,protein_protein_interaction
MUC1,EGFR,0.999,protein_protein_interaction
EGFR,HBEGF,0.999,protein_protein_interaction
HBEGF,EGFR,0.999,protein_protein_interaction
EGFR,EGF,0.999,protein_protein_interaction
EGF,EGFR,0.999,protein_protein_interaction
EGFR,CDH1,0.999,protein_protein_interaction
CDH1,EGFR,0.999,protein_protein_interaction
EGFR,PTK2,0.999,protein_protein_interaction
PTK2,EGFR,0.999,protein_protein_interaction
EGFR,CBL,0.999,protein_protein_interaction
CBL,EGFR,0.999,protein_protein_interaction
EGFR,AREG,0.999,protein_protein_interaction
AREG,EGFR,0.999,protein_protein_interaction
EGFR,EREG,0.999,protein_protein_interaction
EREG,EGFR,0.999,protein_protein_interaction
EGFR,SRC,0.999,protein_protein_interaction
SRC,EGFR,0.999,protein_protein_interaction
PPARG,PPARGC1A,0.999,protein_protein_interaction
PPARGC1A,PPARG,0.999,protein_protein_interaction
PPARG,NCOR1,0.999,protein_protein_interaction
NCOR1,PPARG,0.999,protein_protein_interaction
PPARG,NCOR2,0.999,protein_protein_interaction
NCOR2,PPARG,0.999,protein_protein_interaction
PPARG,RXRA,0.999,protein_protein_interaction
RXRA,PPARG,0.999,protein_protein_interaction
PPARG,MED1,0.999,protein_protein_interaction
MED1,PPARG,0.999,protein_protein_interaction
PPARG,NCOA1,0.999,protein_protein_interaction
NCOA1,PPARG,0.999,protein_protein_interaction
PPARG,NCOA2,0.998,protein_protein_interaction
NCOA2,PPARG,0.998,protein_protein_interaction
PPARG,RELA,0.998,protein_protein_interaction
RELA,PPARG,0.998,protein_protein_interaction
PPARG,SIRT1,0.998,protein_protein_interaction
SIRT1,PPARG,0.998,protein_protein_interaction
PPARG,CREBBP,0.998,protein_protein_interaction
CREBBP,PPARG,0.998,protein_protein_interaction
